steam_cost,electricity_cost,LCOW,SEC
3.10E-03,4.59E-01,3.08E+00,3.38E+00
3.10E-03,4.69E-01,3.10E+00,3.38E+00
3.10E-03,4.80E-01,3.12E+00,3.38E+00
3.10E-03,4.90E-01,3.14E+00,3.38E+00
3.10E-03,5.00E-01,3.17E+00,3.38E+00
3.27E-03,0.00E+00,2.13E+00,3.38E+00
3.27E-03,1.02E-02,2.15E+00,3.38E+00
3.27E-03,2.04E-02,2.17E+00,3.38E+00
3.27E-03,3.06E-02,2.19E+00,3.38E+00
3.27E-03,4.08E-02,2.21E+00,3.38E+00
3.27E-03,5.10E-02,2.24E+00,3.38E+00
3.27E-03,6.12E-02,2.26E+00,3.38E+00
3.27E-03,7.14E-02,2.28E+00,3.38E+00
3.27E-03,8.16E-02,2.30E+00,3.38E+00
3.27E-03,9.18E-02,2.33E+00,3.38E+00
3.27E-03,1.02E-01,2.35E+00,3.38E+00
3.27E-03,1.12E-01,2.37E+00,3.38E+00
3.27E-03,1.22E-01,2.39E+00,3.38E+00
3.27E-03,1.33E-01,2.41E+00,3.38E+00
3.27E-03,1.43E-01,2.44E+00,3.38E+00
3.27E-03,1.53E-01,2.46E+00,3.38E+00
3.27E-03,1.63E-01,2.48E+00,3.38E+00
3.27E-03,1.73E-01,2.50E+00,3.38E+00
3.27E-03,1.84E-01,2.52E+00,3.38E+00
3.27E-03,1.94E-01,2.55E+00,3.38E+00
3.27E-03,2.04E-01,2.57E+00,3.38E+00
3.27E-03,2.14E-01,2.59E+00,3.38E+00
3.27E-03,2.24E-01,2.61E+00,3.38E+00
3.27E-03,2.35E-01,2.63E+00,3.38E+00
3.27E-03,2.45E-01,2.66E+00,3.38E+00
3.27E-03,2.55E-01,2.68E+00,3.38E+00
3.27E-03,2.65E-01,2.70E+00,3.38E+00
3.27E-03,2.76E-01,2.72E+00,3.38E+00
3.27E-03,2.86E-01,2.74E+00,3.38E+00
3.27E-03,2.96E-01,2.77E+00,3.38E+00
3.27E-03,3.06E-01,2.79E+00,3.38E+00
3.27E-03,3.16E-01,2.81E+00,3.38E+00
3.27E-03,3.27E-01,2.83E+00,3.38E+00
3.27E-03,3.37E-01,2.86E+00,3.38E+00
3.27E-03,3.47E-01,2.88E+00,3.38E+00
3.27E-03,3.57E-01,2.90E+00,3.38E+00
3.27E-03,3.67E-01,2.92E+00,3.38E+00
3.27E-03,3.78E-01,2.94E+00,3.38E+00
3.27E-03,3.88E-01,2.97E+00,3.38E+00
3.27E-03,3.98E-01,2.99E+00,3.38E+00
3.27E-03,4.08E-01,3.01E+00,3.38E+00
3.27E-03,4.18E-01,3.03E+00,3.38E+00
3.27E-03,4.29E-01,3.05E+00,3.38E+00
3.27E-03,4.39E-01,3.08E+00,3.38E+00
3.27E-03,4.49E-01,3.10E+00,3.38E+00
3.27E-03,4.59E-01,3.12E+00,3.38E+00
3.27E-03,4.69E-01,3.14E+00,3.38E+00
3.27E-03,4.80E-01,3.16E+00,3.38E+00
3.27E-03,4.90E-01,3.19E+00,3.38E+00
3.27E-03,5.00E-01,3.21E+00,3.38E+00
3.43E-03,0.00E+00,2.17E+00,3.38E+00
3.43E-03,1.02E-02,2.19E+00,3.38E+00
3.43E-03,2.04E-02,2.21E+00,3.38E+00
3.43E-03,3.06E-02,2.24E+00,3.38E+00
3.43E-03,4.08E-02,2.26E+00,3.38E+00
3.43E-03,5.10E-02,2.28E+00,3.38E+00
3.43E-03,6.12E-02,2.30E+00,3.38E+00
3.43E-03,7.14E-02,2.32E+00,3.38E+00
3.43E-03,8.16E-02,2.35E+00,3.38E+00
3.43E-03,9.18E-02,2.37E+00,3.38E+00
3.43E-03,1.02E-01,2.39E+00,3.38E+00
3.43E-03,1.12E-01,2.41E+00,3.38E+00
3.43E-03,1.22E-01,2.43E+00,3.38E+00
3.43E-03,1.33E-01,2.46E+00,3.38E+00
3.43E-03,1.43E-01,2.48E+00,3.38E+00
3.43E-03,1.53E-01,2.50E+00,3.38E+00
3.43E-03,1.63E-01,2.52E+00,3.38E+00
3.43E-03,1.73E-01,2.55E+00,3.38E+00
3.43E-03,1.84E-01,2.57E+00,3.38E+00
3.43E-03,1.94E-01,2.59E+00,3.38E+00
3.43E-03,2.04E-01,2.61E+00,3.38E+00
3.43E-03,2.14E-01,2.63E+00,3.38E+00
3.43E-03,2.24E-01,2.66E+00,3.38E+00
3.43E-03,2.35E-01,2.68E+00,3.38E+00
3.43E-03,2.45E-01,2.70E+00,3.38E+00
3.43E-03,2.55E-01,2.72E+00,3.38E+00
3.43E-03,2.65E-01,2.74E+00,3.38E+00
3.43E-03,2.76E-01,2.77E+00,3.38E+00
3.43E-03,2.86E-01,2.79E+00,3.38E+00
3.43E-03,2.96E-01,2.81E+00,3.38E+00
3.43E-03,3.06E-01,2.83E+00,3.38E+00
3.43E-03,3.16E-01,2.85E+00,3.38E+00
3.43E-03,3.27E-01,2.88E+00,3.38E+00
3.43E-03,3.37E-01,2.90E+00,3.38E+00
3.43E-03,3.47E-01,2.92E+00,3.38E+00
3.43E-03,3.57E-01,2.94E+00,3.38E+00
3.43E-03,3.67E-01,2.96E+00,3.38E+00
3.43E-03,3.78E-01,2.99E+00,3.38E+00
3.43E-03,3.88E-01,3.01E+00,3.38E+00
3.43E-03,3.98E-01,3.03E+00,3.38E+00
3.43E-03,4.08E-01,3.05E+00,3.38E+00
3.43E-03,4.18E-01,3.08E+00,3.38E+00
3.43E-03,4.29E-01,3.10E+00,3.38E+00
3.43E-03,4.39E-01,3.12E+00,3.38E+00
3.43E-03,4.49E-01,3.14E+00,3.38E+00
3.43E-03,4.59E-01,3.16E+00,3.38E+00
3.43E-03,4.69E-01,3.19E+00,3.38E+00
3.43E-03,4.80E-01,3.21E+00,3.38E+00
3.43E-03,4.90E-01,3.23E+00,3.38E+00
3.43E-03,5.00E-01,3.25E+00,3.38E+00
3.59E-03,0.00E+00,2.21E+00,3.38E+00
3.59E-03,1.02E-02,2.24E+00,3.38E+00
3.59E-03,2.04E-02,2.26E+00,3.38E+00
3.59E-03,3.06E-02,2.28E+00,3.38E+00
3.59E-03,4.08E-02,2.30E+00,3.38E+00
3.59E-03,5.10E-02,2.32E+00,3.38E+00
3.59E-03,6.12E-02,2.35E+00,3.38E+00
3.59E-03,7.14E-02,2.37E+00,3.38E+00
3.59E-03,8.16E-02,2.39E+00,3.38E+00
3.59E-03,9.18E-02,2.41E+00,3.38E+00
3.59E-03,1.02E-01,2.43E+00,3.38E+00
3.59E-03,1.12E-01,2.46E+00,3.38E+00
3.59E-03,1.22E-01,2.48E+00,3.38E+00
3.59E-03,1.33E-01,2.50E+00,3.38E+00
3.59E-03,1.43E-01,2.52E+00,3.38E+00
3.59E-03,1.53E-01,2.54E+00,3.38E+00
3.59E-03,1.63E-01,2.57E+00,3.38E+00
3.59E-03,1.73E-01,2.59E+00,3.38E+00
3.59E-03,1.84E-01,2.61E+00,3.38E+00
3.59E-03,1.94E-01,2.63E+00,3.38E+00
3.59E-03,2.04E-01,2.65E+00,3.38E+00
3.59E-03,2.14E-01,2.68E+00,3.38E+00
3.59E-03,2.24E-01,2.70E+00,3.38E+00
3.59E-03,2.35E-01,2.72E+00,3.38E+00
3.59E-03,2.45E-01,2.74E+00,3.38E+00
3.59E-03,2.55E-01,2.77E+00,3.38E+00
3.59E-03,2.65E-01,2.79E+00,3.38E+00
3.59E-03,2.76E-01,2.81E+00,3.38E+00
3.59E-03,2.86E-01,2.83E+00,3.38E+00
3.59E-03,2.96E-01,2.85E+00,3.38E+00
3.59E-03,3.06E-01,2.88E+00,3.38E+00
3.59E-03,3.16E-01,2.90E+00,3.38E+00
3.59E-03,3.27E-01,2.92E+00,3.38E+00
3.59E-03,3.37E-01,2.94E+00,3.38E+00
3.59E-03,3.47E-01,2.96E+00,3.38E+00
3.59E-03,3.57E-01,2.99E+00,3.38E+00
3.59E-03,3.67E-01,3.01E+00,3.38E+00
3.59E-03,3.78E-01,3.03E+00,3.38E+00
3.59E-03,3.88E-01,3.05E+00,3.38E+00
3.59E-03,3.98E-01,3.07E+00,3.38E+00
3.59E-03,4.08E-01,3.10E+00,3.38E+00
3.59E-03,4.18E-01,3.12E+00,3.38E+00
3.59E-03,4.29E-01,3.14E+00,3.38E+00
3.59E-03,4.39E-01,3.16E+00,3.38E+00
3.59E-03,4.49E-01,3.18E+00,3.38E+00
3.59E-03,4.59E-01,3.21E+00,3.38E+00
3.59E-03,4.69E-01,3.23E+00,3.38E+00
3.59E-03,4.80E-01,3.25E+00,3.38E+00
3.59E-03,4.90E-01,3.27E+00,3.38E+00
3.59E-03,5.00E-01,3.30E+00,3.38E+00
3.76E-03,0.00E+00,2.26E+00,3.38E+00
3.76E-03,1.02E-02,2.28E+00,3.38E+00
3.76E-03,2.04E-02,2.30E+00,3.38E+00
3.76E-03,3.06E-02,2.32E+00,3.38E+00
3.76E-03,4.08E-02,2.34E+00,3.38E+00
3.76E-03,5.10E-02,2.37E+00,3.38E+00
3.76E-03,6.12E-02,2.39E+00,3.38E+00
3.76E-03,7.14E-02,2.41E+00,3.38E+00
3.76E-03,8.16E-02,2.43E+00,3.38E+00
3.76E-03,9.18E-02,2.46E+00,3.38E+00
3.76E-03,1.02E-01,2.48E+00,3.38E+00
3.76E-03,1.12E-01,2.50E+00,3.38E+00
3.76E-03,1.22E-01,2.52E+00,3.38E+00
3.76E-03,1.33E-01,2.54E+00,3.38E+00
3.76E-03,1.43E-01,2.57E+00,3.38E+00
3.76E-03,1.53E-01,2.59E+00,3.38E+00
3.76E-03,1.63E-01,2.61E+00,3.38E+00
3.76E-03,1.73E-01,2.63E+00,3.38E+00
3.76E-03,1.84E-01,2.65E+00,3.38E+00
3.76E-03,1.94E-01,2.68E+00,3.38E+00
3.76E-03,2.04E-01,2.70E+00,3.38E+00
3.76E-03,2.14E-01,2.72E+00,3.38E+00
3.76E-03,2.24E-01,2.74E+00,3.38E+00
3.76E-03,2.35E-01,2.76E+00,3.38E+00
3.76E-03,2.45E-01,2.79E+00,3.38E+00
3.76E-03,2.55E-01,2.81E+00,3.38E+00
3.76E-03,2.65E-01,2.83E+00,3.38E+00
3.76E-03,2.76E-01,2.85E+00,3.38E+00
3.76E-03,2.86E-01,2.87E+00,3.38E+00
3.76E-03,2.96E-01,2.90E+00,3.38E+00
3.76E-03,3.06E-01,2.92E+00,3.38E+00
3.76E-03,3.16E-01,2.94E+00,3.38E+00
3.76E-03,3.27E-01,2.96E+00,3.38E+00
3.76E-03,3.37E-01,2.99E+00,3.38E+00
3.76E-03,3.47E-01,3.01E+00,3.38E+00
3.76E-03,3.57E-01,3.03E+00,3.38E+00
3.76E-03,3.67E-01,3.05E+00,3.38E+00
3.76E-03,3.78E-01,3.07E+00,3.38E+00
3.76E-03,3.88E-01,3.10E+00,3.38E+00
3.76E-03,3.98E-01,3.12E+00,3.38E+00
3.76E-03,4.08E-01,3.14E+00,3.38E+00
3.76E-03,4.18E-01,3.16E+00,3.38E+00
3.76E-03,4.29E-01,3.18E+00,3.38E+00
3.76E-03,4.39E-01,3.21E+00,3.38E+00
3.76E-03,4.49E-01,3.23E+00,3.38E+00
3.76E-03,4.59E-01,3.25E+00,3.38E+00
3.76E-03,4.69E-01,3.27E+00,3.38E+00
3.76E-03,4.80E-01,3.29E+00,3.38E+00
3.76E-03,4.90E-01,3.32E+00,3.38E+00
3.76E-03,5.00E-01,3.34E+00,3.38E+00
3.92E-03,0.00E+00,2.30E+00,3.38E+00
3.92E-03,1.02E-02,2.32E+00,3.38E+00
3.92E-03,2.04E-02,2.34E+00,3.38E+00
3.92E-03,3.06E-02,2.37E+00,3.38E+00
3.92E-03,4.08E-02,2.39E+00,3.38E+00
3.92E-03,5.10E-02,2.41E+00,3.38E+00
3.92E-03,6.12E-02,2.43E+00,3.38E+00
3.92E-03,7.14E-02,2.45E+00,3.38E+00
3.92E-03,8.16E-02,2.48E+00,3.38E+00
3.92E-03,9.18E-02,2.50E+00,3.38E+00
3.92E-03,1.02E-01,2.52E+00,3.38E+00
3.92E-03,1.12E-01,2.54E+00,3.38E+00
3.92E-03,1.22E-01,2.56E+00,3.38E+00
3.92E-03,1.33E-01,2.59E+00,3.38E+00
3.92E-03,1.43E-01,2.61E+00,3.38E+00
3.92E-03,1.53E-01,2.63E+00,3.38E+00
3.92E-03,1.63E-01,2.65E+00,3.38E+00
3.92E-03,1.73E-01,2.68E+00,3.38E+00
3.92E-03,1.84E-01,2.70E+00,3.38E+00
3.92E-03,1.94E-01,2.72E+00,3.38E+00
3.92E-03,2.04E-01,2.74E+00,3.38E+00
3.92E-03,2.14E-01,2.76E+00,3.38E+00
3.92E-03,2.24E-01,2.79E+00,3.38E+00
3.92E-03,2.35E-01,2.81E+00,3.38E+00
3.92E-03,2.45E-01,2.83E+00,3.38E+00
3.92E-03,2.55E-01,2.85E+00,3.38E+00
3.92E-03,2.65E-01,2.87E+00,3.38E+00
3.92E-03,2.76E-01,2.90E+00,3.38E+00
3.92E-03,2.86E-01,2.92E+00,3.38E+00
3.92E-03,2.96E-01,2.94E+00,3.38E+00
3.92E-03,3.06E-01,2.96E+00,3.38E+00
3.92E-03,3.16E-01,2.98E+00,3.38E+00
3.92E-03,3.27E-01,3.01E+00,3.38E+00
3.92E-03,3.37E-01,3.03E+00,3.38E+00
3.92E-03,3.47E-01,3.05E+00,3.38E+00
3.92E-03,3.57E-01,3.07E+00,3.38E+00
3.92E-03,3.67E-01,3.09E+00,3.38E+00
3.92E-03,3.78E-01,3.12E+00,3.38E+00
3.92E-03,3.88E-01,3.14E+00,3.38E+00
3.92E-03,3.98E-01,3.16E+00,3.38E+00
3.92E-03,4.08E-01,3.18E+00,3.38E+00
3.92E-03,4.18E-01,3.21E+00,3.38E+00
3.92E-03,4.29E-01,3.23E+00,3.38E+00
3.92E-03,4.39E-01,3.25E+00,3.38E+00
3.92E-03,4.49E-01,3.27E+00,3.38E+00
3.92E-03,4.59E-01,3.29E+00,3.38E+00
3.92E-03,4.69E-01,3.32E+00,3.38E+00
3.92E-03,4.80E-01,3.34E+00,3.38E+00
3.92E-03,4.90E-01,3.36E+00,3.38E+00
3.92E-03,5.00E-01,3.38E+00,3.38E+00
4.08E-03,0.00E+00,2.34E+00,3.38E+00
4.08E-03,1.02E-02,2.37E+00,3.38E+00
4.08E-03,2.04E-02,2.39E+00,3.38E+00
4.08E-03,3.06E-02,2.41E+00,3.38E+00
4.08E-03,4.08E-02,2.43E+00,3.38E+00
4.08E-03,5.10E-02,2.45E+00,3.38E+00
4.08E-03,6.12E-02,2.48E+00,3.38E+00
4.08E-03,7.14E-02,2.50E+00,3.38E+00
4.08E-03,8.16E-02,2.52E+00,3.38E+00
4.08E-03,9.18E-02,2.54E+00,3.38E+00
4.08E-03,1.02E-01,2.56E+00,3.38E+00
4.08E-03,1.12E-01,2.59E+00,3.38E+00
4.08E-03,1.22E-01,2.61E+00,3.38E+00
4.08E-03,1.33E-01,2.63E+00,3.38E+00
4.08E-03,1.43E-01,2.65E+00,3.38E+00
4.08E-03,1.53E-01,2.67E+00,3.38E+00
4.08E-03,1.63E-01,2.70E+00,3.38E+00
4.08E-03,1.73E-01,2.72E+00,3.38E+00
4.08E-03,1.84E-01,2.74E+00,3.38E+00
4.08E-03,1.94E-01,2.76E+00,3.38E+00
4.08E-03,2.04E-01,2.78E+00,3.38E+00
4.08E-03,2.14E-01,2.81E+00,3.38E+00
4.08E-03,2.24E-01,2.83E+00,3.38E+00
4.08E-03,2.35E-01,2.85E+00,3.38E+00
4.08E-03,2.45E-01,2.87E+00,3.38E+00
4.08E-03,2.55E-01,2.90E+00,3.38E+00
4.08E-03,2.65E-01,2.92E+00,3.38E+00
4.08E-03,2.76E-01,2.94E+00,3.38E+00
4.08E-03,2.86E-01,2.96E+00,3.38E+00
4.08E-03,2.96E-01,2.98E+00,3.38E+00
4.08E-03,3.06E-01,3.01E+00,3.38E+00
4.08E-03,3.16E-01,3.03E+00,3.38E+00
4.08E-03,3.27E-01,3.05E+00,3.38E+00
4.08E-03,3.37E-01,3.07E+00,3.38E+00
4.08E-03,3.47E-01,3.09E+00,3.38E+00
4.08E-03,3.57E-01,3.12E+00,3.38E+00
4.08E-03,3.67E-01,3.14E+00,3.38E+00
4.08E-03,3.78E-01,3.16E+00,3.38E+00
4.08E-03,3.88E-01,3.18E+00,3.38E+00
4.08E-03,3.98E-01,3.20E+00,3.38E+00
4.08E-03,4.08E-01,3.23E+00,3.38E+00
4.08E-03,4.18E-01,3.25E+00,3.38E+00
4.08E-03,4.29E-01,3.27E+00,3.38E+00
4.08E-03,4.39E-01,3.29E+00,3.38E+00
4.08E-03,4.49E-01,3.31E+00,3.38E+00
4.08E-03,4.59E-01,3.34E+00,3.38E+00
4.08E-03,4.69E-01,3.36E+00,3.38E+00
4.08E-03,4.80E-01,3.38E+00,3.38E+00
4.08E-03,4.90E-01,3.40E+00,3.38E+00
4.08E-03,5.00E-01,3.43E+00,3.38E+00
4.24E-03,0.00E+00,2.39E+00,3.38E+00
4.24E-03,1.02E-02,2.41E+00,3.38E+00
4.24E-03,2.04E-02,2.43E+00,3.38E+00
4.24E-03,3.06E-02,2.45E+00,3.38E+00
4.24E-03,4.08E-02,2.47E+00,3.38E+00
4.24E-03,5.10E-02,2.50E+00,3.38E+00
4.24E-03,6.12E-02,2.52E+00,3.38E+00
4.24E-03,7.14E-02,2.54E+00,3.38E+00
4.24E-03,8.16E-02,2.56E+00,3.38E+00
4.24E-03,9.18E-02,2.59E+00,3.38E+00
4.24E-03,1.02E-01,2.61E+00,3.38E+00
4.24E-03,1.12E-01,2.63E+00,3.38E+00
4.24E-03,1.22E-01,2.65E+00,3.38E+00
4.24E-03,1.33E-01,2.67E+00,3.38E+00
4.24E-03,1.43E-01,2.70E+00,3.38E+00
4.24E-03,1.53E-01,2.72E+00,3.38E+00
4.24E-03,1.63E-01,2.74E+00,3.38E+00
4.24E-03,1.73E-01,2.76E+00,3.38E+00
4.24E-03,1.84E-01,2.78E+00,3.38E+00
4.24E-03,1.94E-01,2.81E+00,3.38E+00
4.24E-03,2.04E-01,2.83E+00,3.38E+00
4.24E-03,2.14E-01,2.85E+00,3.38E+00
4.24E-03,2.24E-01,2.87E+00,3.38E+00
4.24E-03,2.35E-01,2.89E+00,3.38E+00
4.24E-03,2.45E-01,2.92E+00,3.38E+00
4.24E-03,2.55E-01,2.94E+00,3.38E+00
4.24E-03,2.65E-01,2.96E+00,3.38E+00
4.24E-03,2.76E-01,2.98E+00,3.38E+00
4.24E-03,2.86E-01,3.00E+00,3.38E+00
4.24E-03,2.96E-01,3.03E+00,3.38E+00
4.24E-03,3.06E-01,3.05E+00,3.38E+00
4.24E-03,3.16E-01,3.07E+00,3.38E+00
4.24E-03,3.27E-01,3.09E+00,3.38E+00
4.24E-03,3.37E-01,3.12E+00,3.38E+00
4.24E-03,3.47E-01,3.14E+00,3.38E+00
4.24E-03,3.57E-01,3.16E+00,3.38E+00
4.24E-03,3.67E-01,3.18E+00,3.38E+00
4.24E-03,3.78E-01,3.20E+00,3.38E+00
4.24E-03,3.88E-01,3.23E+00,3.38E+00
4.24E-03,3.98E-01,3.25E+00,3.38E+00
4.24E-03,4.08E-01,3.27E+00,3.38E+00
4.24E-03,4.18E-01,3.29E+00,3.38E+00
4.24E-03,4.29E-01,3.31E+00,3.38E+00
4.24E-03,4.39E-01,3.34E+00,3.38E+00
4.24E-03,4.49E-01,3.36E+00,3.38E+00
4.24E-03,4.59E-01,3.38E+00,3.38E+00
4.24E-03,4.69E-01,3.40E+00,3.38E+00
4.24E-03,4.80E-01,3.42E+00,3.38E+00
4.24E-03,4.90E-01,3.45E+00,3.38E+00
4.24E-03,5.00E-01,3.47E+00,3.38E+00
4.41E-03,0.00E+00,2.43E+00,3.38E+00
4.41E-03,1.02E-02,2.45E+00,3.38E+00
4.41E-03,2.04E-02,2.47E+00,3.38E+00
4.41E-03,3.06E-02,2.50E+00,3.38E+00
4.41E-03,4.08E-02,2.52E+00,3.38E+00
4.41E-03,5.10E-02,2.54E+00,3.38E+00
4.41E-03,6.12E-02,2.56E+00,3.38E+00
4.41E-03,7.14E-02,2.58E+00,3.38E+00
4.41E-03,8.16E-02,2.61E+00,3.38E+00
4.41E-03,9.18E-02,2.63E+00,3.38E+00
4.41E-03,1.02E-01,2.65E+00,3.38E+00
4.41E-03,1.12E-01,2.67E+00,3.38E+00
4.41E-03,1.22E-01,2.69E+00,3.38E+00
4.41E-03,1.33E-01,2.72E+00,3.38E+00
4.41E-03,1.43E-01,2.74E+00,3.38E+00
4.41E-03,1.53E-01,2.76E+00,3.38E+00
4.41E-03,1.63E-01,2.78E+00,3.38E+00
4.41E-03,1.73E-01,2.81E+00,3.38E+00
4.41E-03,1.84E-01,2.83E+00,3.38E+00
4.41E-03,1.94E-01,2.85E+00,3.38E+00
4.41E-03,2.04E-01,2.87E+00,3.38E+00
4.41E-03,2.14E-01,2.89E+00,3.38E+00
4.41E-03,2.24E-01,2.92E+00,3.38E+00
4.41E-03,2.35E-01,2.94E+00,3.38E+00
4.41E-03,2.45E-01,2.96E+00,3.38E+00
4.41E-03,2.55E-01,2.98E+00,3.38E+00
4.41E-03,2.65E-01,3.00E+00,3.38E+00
4.41E-03,2.76E-01,3.03E+00,3.38E+00
4.41E-03,2.86E-01,3.05E+00,3.38E+00
4.41E-03,2.96E-01,3.07E+00,3.38E+00
4.41E-03,3.06E-01,3.09E+00,3.38E+00
4.41E-03,3.16E-01,3.11E+00,3.38E+00
4.41E-03,3.27E-01,3.14E+00,3.38E+00
4.41E-03,3.37E-01,3.16E+00,3.38E+00
4.41E-03,3.47E-01,3.18E+00,3.38E+00
4.41E-03,3.57E-01,3.20E+00,3.38E+00
4.41E-03,3.67E-01,3.22E+00,3.38E+00
4.41E-03,3.78E-01,3.25E+00,3.38E+00
4.41E-03,3.88E-01,3.27E+00,3.38E+00
4.41E-03,3.98E-01,3.29E+00,3.38E+00
4.41E-03,4.08E-01,3.31E+00,3.38E+00
4.41E-03,4.18E-01,3.34E+00,3.38E+00
4.41E-03,4.29E-01,3.36E+00,3.38E+00
4.41E-03,4.39E-01,3.38E+00,3.38E+00
4.41E-03,4.49E-01,3.40E+00,3.38E+00
4.41E-03,4.59E-01,3.42E+00,3.38E+00
4.41E-03,4.69E-01,3.45E+00,3.38E+00
4.41E-03,4.80E-01,3.47E+00,3.38E+00
4.41E-03,4.90E-01,3.49E+00,3.38E+00
4.41E-03,5.00E-01,3.51E+00,3.38E+00
4.57E-03,0.00E+00,2.47E+00,3.38E+00
4.57E-03,1.02E-02,2.50E+00,3.38E+00
4.57E-03,2.04E-02,2.52E+00,3.38E+00
4.57E-03,3.06E-02,2.54E+00,3.38E+00
4.57E-03,4.08E-02,2.56E+00,3.38E+00
4.57E-03,5.10E-02,2.58E+00,3.38E+00
4.57E-03,6.12E-02,2.61E+00,3.38E+00
4.57E-03,7.14E-02,2.63E+00,3.38E+00
4.57E-03,8.16E-02,2.65E+00,3.38E+00
4.57E-03,9.18E-02,2.67E+00,3.38E+00
4.57E-03,1.02E-01,2.69E+00,3.38E+00
4.57E-03,1.12E-01,2.72E+00,3.38E+00
4.57E-03,1.22E-01,2.74E+00,3.38E+00
4.57E-03,1.33E-01,2.76E+00,3.38E+00
4.57E-03,1.43E-01,2.78E+00,3.38E+00
4.57E-03,1.53E-01,2.80E+00,3.38E+00
4.57E-03,1.63E-01,2.83E+00,3.38E+00
4.57E-03,1.73E-01,2.85E+00,3.38E+00
4.57E-03,1.84E-01,2.87E+00,3.38E+00
4.57E-03,1.94E-01,2.89E+00,3.38E+00
4.57E-03,2.04E-01,2.91E+00,3.38E+00
4.57E-03,2.14E-01,2.94E+00,3.38E+00
4.57E-03,2.24E-01,2.96E+00,3.38E+00
4.57E-03,2.35E-01,2.98E+00,3.38E+00
4.57E-03,2.45E-01,3.00E+00,3.38E+00
4.57E-03,2.55E-01,3.03E+00,3.38E+00
4.57E-03,2.65E-01,3.05E+00,3.38E+00
4.57E-03,2.76E-01,3.07E+00,3.38E+00
4.57E-03,2.86E-01,3.09E+00,3.38E+00
4.57E-03,2.96E-01,3.11E+00,3.38E+00
4.57E-03,3.06E-01,3.14E+00,3.38E+00
4.57E-03,3.16E-01,3.16E+00,3.38E+00
4.57E-03,3.27E-01,3.18E+00,3.38E+00
4.57E-03,3.37E-01,3.20E+00,3.38E+00
4.57E-03,3.47E-01,3.22E+00,3.38E+00
4.57E-03,3.57E-01,3.25E+00,3.38E+00
4.57E-03,3.67E-01,3.27E+00,3.38E+00
4.57E-03,3.78E-01,3.29E+00,3.38E+00
4.57E-03,3.88E-01,3.31E+00,3.38E+00
4.57E-03,3.98E-01,3.33E+00,3.38E+00
4.57E-03,4.08E-01,3.36E+00,3.38E+00
4.57E-03,4.18E-01,3.38E+00,3.38E+00
4.57E-03,4.29E-01,3.40E+00,3.38E+00
4.57E-03,4.39E-01,3.42E+00,3.38E+00
4.57E-03,4.49E-01,3.45E+00,3.38E+00
4.57E-03,4.59E-01,3.47E+00,3.38E+00
4.57E-03,4.69E-01,3.49E+00,3.38E+00
4.57E-03,4.80E-01,3.51E+00,3.38E+00
4.57E-03,4.90E-01,3.53E+00,3.38E+00
4.57E-03,5.00E-01,3.56E+00,3.38E+00
4.73E-03,0.00E+00,2.52E+00,3.38E+00
4.73E-03,1.02E-02,2.54E+00,3.38E+00
4.73E-03,2.04E-02,2.56E+00,3.38E+00
4.73E-03,3.06E-02,2.58E+00,3.38E+00
4.73E-03,4.08E-02,2.60E+00,3.38E+00
4.73E-03,5.10E-02,2.63E+00,3.38E+00
4.73E-03,6.12E-02,2.65E+00,3.38E+00
4.73E-03,7.14E-02,2.67E+00,3.38E+00
4.73E-03,8.16E-02,2.69E+00,3.38E+00
4.73E-03,9.18E-02,2.72E+00,3.38E+00
4.73E-03,1.02E-01,2.74E+00,3.38E+00
4.73E-03,1.12E-01,2.76E+00,3.38E+00
4.73E-03,1.22E-01,2.78E+00,3.38E+00
4.73E-03,1.33E-01,2.80E+00,3.38E+00
4.73E-03,1.43E-01,2.83E+00,3.38E+00
4.73E-03,1.53E-01,2.85E+00,3.38E+00
4.73E-03,1.63E-01,2.87E+00,3.38E+00
4.73E-03,1.73E-01,2.89E+00,3.38E+00
4.73E-03,1.84E-01,2.91E+00,3.38E+00
4.73E-03,1.94E-01,2.94E+00,3.38E+00
4.73E-03,2.04E-01,2.96E+00,3.38E+00
4.73E-03,2.14E-01,2.98E+00,3.38E+00
4.73E-03,2.24E-01,3.00E+00,3.38E+00
4.73E-03,2.35E-01,3.02E+00,3.38E+00
4.73E-03,2.45E-01,3.05E+00,3.38E+00
4.73E-03,2.55E-01,3.07E+00,3.38E+00
4.73E-03,2.65E-01,3.09E+00,3.38E+00
4.73E-03,2.76E-01,3.11E+00,3.38E+00
4.73E-03,2.86E-01,3.13E+00,3.38E+00
4.73E-03,2.96E-01,3.16E+00,3.38E+00
4.73E-03,3.06E-01,3.18E+00,3.38E+00
4.73E-03,3.16E-01,3.20E+00,3.38E+00
4.73E-03,3.27E-01,3.22E+00,3.38E+00
4.73E-03,3.37E-01,3.25E+00,3.38E+00
4.73E-03,3.47E-01,3.27E+00,3.38E+00
4.73E-03,3.57E-01,3.29E+00,3.38E+00
4.73E-03,3.67E-01,3.31E+00,3.38E+00
4.73E-03,3.78E-01,3.33E+00,3.38E+00
4.73E-03,3.88E-01,3.36E+00,3.38E+00
4.73E-03,3.98E-01,3.38E+00,3.38E+00
4.73E-03,4.08E-01,3.40E+00,3.38E+00
4.73E-03,4.18E-01,3.42E+00,3.38E+00
4.73E-03,4.29E-01,3.44E+00,3.38E+00
4.73E-03,4.39E-01,3.47E+00,3.38E+00
